Start,End
2015-12-23T23:24:00,2015-12-24T09:40:00
2015-12-25T00:00:00,2015-12-25T06:00:00
2015-12-25T21:46:00,2015-12-26T06:52:00
2015-12-26T15:00:00,2015-12-27T05:49:00
2015-12-27T13:14:00,2015-12-28T07:56:00
2015-12-28T21:24:00,2015-12-29T08:10:00
2015-12-29T22:28:00,2015-12-30T11:59:00
2015-12-30T12:00:00,2015-12-31T07:19:00
2015-12-31T23:34:00,2016-01-01T09:26:00
2016-01-01T21:54:00,2016-01-02T11:59:00
2016-01-02T12:00:00,2016-01-03T08:03:00
2016-01-03T22:12:00,2016-01-04T08:28:00
2016-01-04T21:17:00,2016-01-05T07:45:00
2016-01-05T19:58:00,2016-01-06T05:27:00
2016-01-06T21:38:00,2016-01-07T10:05:00
2016-01-07T22:33:00,2016-01-08T11:59:00
2016-01-08T12:00:00,2016-01-09T10:56:00
2016-01-09T22:28:00,2016-01-10T09:34:00
2016-01-10T22:08:00,2016-01-11T05:46:00
2016-01-11T19:08:00,2016-01-12T08:36:00
2016-01-12T19:40:00,2016-01-13T04:33:00
2016-01-13T13:44:00,2016-01-14T08:40:00
2016-01-14T23:15:00,2016-01-15T09:59:00
2016-01-15T21:45:00,2016-01-16T11:59:00
2016-01-16T12:00:00,2016-01-17T07:09:00
2016-01-17T22:12:00,2016-01-18T09:29:00
2016-01-18T22:21:00,2016-01-19T09:00:00
2016-01-19T22:49:00,2016-01-20T07:50:00
2016-01-20T23:37:00,2016-01-21T07:28:00
2016-01-21T22:40:00,2016-01-22T09:31:00
2016-01-22T23:40:00,2016-01-23T11:40:00
2016-01-23T21:29:00,2016-01-24T11:59:00
2016-01-24T12:00:00,2016-01-25T08:33:00
2016-01-26T00:08:00,2016-01-26T09:35:00
2016-01-26T22:15:00,2016-01-27T04:10:00
2016-01-27T20:39:00,2016-01-28T06:15:00
2016-01-28T21:55:00,2016-01-29T06:04:00
2016-01-29T20:13:00,2016-01-30T06:57:00
2016-01-30T20:26:00,2016-01-31T05:24:00
2016-01-31T19:17:00,2016-02-01T06:20:00
2016-02-01T20:06:00,2016-02-02T04:18:00
2016-02-02T20:05:00,2016-02-03T10:09:00
2016-02-03T19:32:00,2016-02-04T09:39:00
2016-02-04T20:13:00,2016-02-05T11:59:00
2016-02-05T12:00:00,2016-02-06T06:53:00
2016-02-06T12:32:00,2016-02-07T02:33:00
2016-02-07T13:18:00,2016-02-08T03:42:00
2016-02-08T20:03:00,2016-02-09T08:14:00
2016-02-09T21:17:00,2016-02-10T06:13:00
2016-02-10T19:37:00,2016-02-11T03:34:00
2016-02-11T21:38:00,2016-02-12T04:11:00
2016-02-12T19:51:00,2016-02-13T11:59:00
2016-02-13T12:00:00,2016-02-14T08:02:00
2016-02-14T19:21:00,2016-02-15T06:31:00
2016-02-15T20:05:00,2016-02-16T06:23:00
2016-02-16T21:24:00,2016-02-17T06:00:00
2016-02-17T12:16:00,2016-02-18T04:27:00
2016-02-18T13:42:00,2016-02-19T06:54:00
2016-02-19T20:47:00,2016-02-20T05:00:00
2016-02-20T20:21:00,2016-02-21T04:56:00
2016-02-21T21:14:00,2016-02-22T09:05:00
2016-02-22T20:05:00,2016-02-23T04:48:00
2016-02-23T22:45:00,2016-02-24T07:23:00
2016-02-24T19:34:00,2016-02-25T04:48:00
2016-02-25T20:16:00,2016-02-26T05:31:00
2016-02-26T20:56:00,2016-02-27T05:41:00
2016-02-27T20:23:00,2016-02-28T04:52:00
2016-02-28T21:44:00,2016-02-29T06:50:00
2016-02-29T22:03:00,2016-03-01T07:55:00
2016-03-01T12:40:00,2016-03-02T09:20:00
2016-03-02T21:24:00,2016-03-03T06:06:00
2016-03-03T22:57:00,2016-03-04T07:32:00
2016-03-04T21:41:00,2016-03-05T11:08:00
2016-03-05T19:56:00,2016-03-06T10:34:00
2016-03-06T13:32:00,2016-03-07T09:11:00
2016-03-07T19:00:00,2016-03-08T06:44:00
2016-03-08T21:21:00,2016-03-09T11:59:00
2016-03-09T12:00:00,2016-03-10T04:46:00
2016-03-11T00:05:00,2016-03-11T06:58:00
2016-03-11T20:27:00,2016-03-12T09:26:00
2016-03-12T20:29:00,2016-03-13T06:43:00
2016-03-13T21:33:00,2016-03-14T08:47:00
2016-03-14T20:56:00,2016-03-15T04:54:00
2016-03-15T20:22:00,2016-03-16T05:52:00
2016-03-16T21:48:00,2016-03-17T08:02:00
2016-03-17T19:53:00,2016-03-18T05:24:00
2016-03-18T20:15:00,2016-03-19T08:41:00
